id,role,case_name,trigger,ui_state,copy_direction,design_answer,priority_in_make,states_to_generate,source
C-01,Contributor,Room-take consent — 3 non-users recorded,Start ROOM capture with 4 people in room,RoomConsentRollCall sheet before record,"Each person says name + ""I consent"" or scans QR — under DPDP each is a data principal","On-tape consent roll-call before recording; under-18 gate included — see C-10",P0 — build ⭐,Capture with roll-call / missing-consent blocked / all-consented ready,MASTER-BRIEF §13.1
C-02,Contributor,Coverage full — demographic quota met,Browse campaign where contributor's profile already over-collected,"CoverageFullState as honest alternative to locked card, not generic ""not eligible""",Always pair rejection with redirect — honest flip side of rarity pricing,"Coverage-full message + redirect card: ""Marathi Vidarbha 45+ needs 400 more · 1.6×"" + CTA to that campaign",P0 — build ⭐,CoverageFullState screen + redirect card row,MASTER-BRIEF §13.1 + AUDIT-FEUL #1
C-03,Contributor,Campaign closes mid-session,Browse → brief → another contributor fills last slots while you decide,Inline campaign status flips to filled; in-flight submission path kept,Make promise visible: in-flight submissions honoured and paid — reduces commit anxiety,Campaign card flips to filled; brief shows honour-notice; toast if closing while viewing,P0 — build ⭐,Card flips to filled / brief honour-notice / toast while viewing,MASTER-BRIEF §13.1
C-04,Contributor,Interrupted room take — call at min 19 of 25,Phone call / app backgrounded / battery death during continuous ROOM take,SessionInterrupted: local persistence + resume CTA; highest-stakes failure (₹220 + 4 people's evening),Copy names stakes not tech: ""Your 19-min take is saved. Resume in 24h."" + duration preserved,Local persistence + resume within 24h surfaced from Home active-assignment row,P1 — specify for Tier1 even if ROOM is one locked card in Tier1,SessionInterrupted screen + resume from Home row + expiry notice,MASTER-BRIEF §13.1
C-05,Contributor,Consent revoked after payment,User revokes DPDP consent after clip paid and settled,ConsentRevokedPostPayment receipt: data deleted confirmation,Data deleted. Money not clawed back. Show ledger row struck as deleted with settled amount retained.,Revocation confirm screen + ledger detail with deletion marker + settled row retained,P1 — build as ledger state,Revocation receipt + ledger row struck as deleted + settled retained,MASTER-BRIEF §13.1
C-06,Contributor,Suspected TTS / synthetic submission,Auto-check flags synthetic audio / spoofing,Verification hold — explained / appealable — promote existing SpoofingVerificationHold,Explain what flagged / what happens next / timeline / appeal path — never silent penalty,Verification hold card + appeal CTA + timeline; pending state in ledger,P1 — build as status,SpoofingVerificationHold card + appeal CTA + timeline + ledger pending state,MASTER-BRIEF §13.1
C-07,Contributor,Rarity gaming — contributor claims scarce dialect,Selects Vidarbha Marathi 1.6× but acoustic/dialect signal mismatches / location inconsistent,Dialect mismatch flag before payout — honest check not accusation,"We detected a dialect mismatch — your Marathi was paid at base rate. Verify dialect for future bonuses.",Dialect mismatch adjusts pay breakdown to base — honest check before payout,P0 — NEW ⭐ for case study,Flagged Review row + pay breakdown adjusts to base + location-dialect confirm prompt,NEW — AUDIT-FEUL #4
C-08,Contributor,Silent room participant — one of four never speaks,ROOM 4-person take submitted — one speaker has 0 seconds,Room take review flags silent speaker — clarifies pay eligibility,Name it: ""One speaker didn't speak — this take needs all 4 voices to be valid. Retake or remove?"" + pay consequence shown,Room review shows 4-lane speaker timeline with one lane empty + retake-all vs adjust,P1 — NEW ⭐,Room Review with 4-lane timeline (one empty) + retake-all CTA,NEW — AUDIT-FEUL #4
C-09,Contributor,Quality grade dispute — contributor appeals pay-reducing grade,Validator grades 4.5 threshold reduces quality bonus; contributor disagrees,Bounded-window dispute path — same accountability class as LokAI stop taxonomy,Time-boxed appeal CTA on rejected/under-review row + expected timeline + what evidence is re-checked,Bounded appeal window (7 days) → escalation to 3rd reviewer → honest result state,P2 — NEW,RejectedTask with Appeal CTA (7d) + Under appeal — 3rd reviewer + result,NEW — AUDIT-FEUL #5
C-10,Contributor,Minor/guardian consent — family dinner includes under-18,ROOM roll-call asks ""anyone under 18 present?"" → yes,Minor gate in roll-call — exclude speaker or capture guardian consent on tape,Block + explain; no data retained; offer to re-take without minor,Block if minor present — exclude speaker or capture guardian consent on tape,P1 — build (DPDP),RoomConsentRollCall minor branch + blocked state + exclusion/consent CTA,EXECUTION-PHASES §10.3a + MASTER-BRIEF §10.3a
C-11,Contributor,Upload failed / offline,Network drops after Review → Submit — 3 clips queued,Local queue banner: ""3 clips saved — waiting for network."" Trust moment — do not discard,Show persistent offline queue reachable from Home — not only toast,Local queue persists + retry CTA; trust moment not discard,P1 — build,Offline queue row on Home/UploadQueue screen + retry CTA + preserved take count,MASTER-BRIEF §13.1
C-12,Contributor,Partial rejection — one clip fails among 8,One clip rejected · 7 accepted in LINES/SCENARIO,Repair Studio — keep accepted · wire reason to validator taxonomy,Shared rejection taxonomy (noise · clipping · wrong language · script deviation · overlap · duration · synthetic · consent missing) — one taxonomy both directions,Preserve accepted clips; isolate failed clip with validator taxonomy reason in native language + example,P1 — Tier2 but spec now,Repair Studio matrix with flagged clip + reason + example + retake single CTA,MASTER-BRIEF §11.2 + §13.1
C-13,Contributor,Mic permission denied,Tap record without permission,Permission prime with why + path to settings,Explain why needed — not generic system dialog,Permission prime explains why + deep link to OS settings,P1 — build,MicPermissionDenied sheet with rationale + OS settings link,MASTER-BRIEF §13.1
C-14,Contributor,Noise floor too high mid-record,Room ambient exceeds threshold during Capture,Pause + guidance — don't discard,Pause overlay with guidance + level meter + resume — do not discard,Pause overlay with level meter + guidance + resume CTA,P1 — build,NoisePause overlay on Capture + resume CTA,MASTER-BRIEF §13.1
C-15,Contributor,Battery low during long ROOM take,<20% on ROOM format at Brief,Warn before start if battery <20% on ROOM — highest stakes format,Pre-check at Brief: ""Battery low — a 25-min take may not survive. Plug in?"" + proceed/cancel,Battery warning at Brief for ROOM — 25-min take risk,P2 — build,Brief battery warning banner,MASTER-BRIEF §13.1
C-16,Contributor,Campaign cancelled after submission before approval,Lab cancels campaign after submit but before settlement,Cancelled-but-submitted ledger state — who absorbs loss stated,Honour in-flight: submitted clips still reviewed and paid — platform absorbs lab withdrawal — not contributor,In-flight honour — platform absorbs lab withdrawal — contributor still paid,P1 — NEW ⭐,Campaign-cancelled banner on ledger row + status ""Campaign closed — your submission still under review"" — see C-03,NEW — AUDIT-FEUL #9
C-17,Validator,Two validators disagree,2 validators grade same clip differently,Escalate to 3rd; contributor sees honest state `Under extended review — reviewers disagreed`,This screen is worth building — honest version of a loading state,Escalate to 3rd validator; contributor sees honest pending state,P2 — Tier3 but spec,DisagreementEscalation card + contributor ledger pending copy,MASTER-BRIEF §11.2 + §13.2
C-18,Validator,Gold-standard agreement drops,Validator rubber-stamps → secret 5-10% pre-graded injection agreement collapses,Private warning → queue throttle → suspension,Invisible scoring — never accuse — degrade queue then suspend,Queue throttle then suspension on agreement drop — never accuse,P2 — Tier3,AccuracyWarning sheet + throttled empty queue copy,MASTER-BRIEF §11.2 + §13.2
C-19,Validator,Queue empty,No clips to grade,Offer contributor work instead — roles cross-subsidize,Empty state cross-links to contributor feed,Cross-subsidize: offer contributor work when validator queue empty,P2 — Tier3,Validator empty state with contributor CTA,MASTER-BRIEF §13.2
C-20,Marketplace,Empty catalogue,New contributor finishes calibration — no campaigns match,Honest empty: name the supply gap + offer notification — keep existing honest version,Don't dress as loading spinner that never resolves,Honest empty — name gap + notify CTA — never spinner,P1 — build,EmptyResults: ""No Marathi SCENARIO tasks right now — 12 contributors waiting ahead of you"" + notify me,MASTER-BRIEF §13.3
C-21,Marketplace,Campaign oversubscribed while browsing,Slots fill while browsing (e.g. featured `slotsLeft`),Real-time slot count; graceful filled state,Slot counter + graceful filled copy — not error,Graceful filled state with live slot count,P1 — build,Featured card `3 slots left` → `Filled` transition,MASTER-BRIEF §13.3
C-22,Marketplace,All campaigns locked by tier,New tier sees no eligible campaigns,Always guarantee ≥1 LINES campaign eligible at every tier — last row is always open,Locked state still aspirational (see TierGate) but one open row exists,Guarantee one LINES row eligible at every tier,P1 — rule,Filter `Eligible only` toggle + locked TierGate + one open LINES row,MASTER-BRIEF §13.3
C-23,Marketplace,Wrong language detected / duplicate / daily limit / UPI failed / below minimum,Standard checks,Flag before submit / explain limit purpose / retry VPA — money stays available; first-withdrawal floor shown as gap,Each is one clear sentence + why + what to do,Pre-submit flag or inline message with why + corrective CTA,P1 — build as ledger/form states,Per-error inline message + corrective CTA,MASTER-BRIEF §13.1
